struct_idx	county	phillimore	cobs_1086	cobs_1066	cattle_1086	cattle_1066	cows_1086	cows_1066	pigs_1086	pigs_1066	sheep_1086	sheep_1066	goats_1086	goats_1066	beehives_1086	beehives_1066	wild_mares_1086	wild_mares_1066	other_1086	other_code_1086	other_1066	other_code_1066
18655	ESS	"25,18"	2	2	13	8			66	35	100	87	15		6	2
18656	ESS	"25,19"	3	1	14	10			60	40	131	100				
18657	ESS	"25,20"	4	2	7	4			33	10	97	80				
18658	ESS	"25,21"	1	3	9	10			35	40	63	50	11							
18659	ESS	"25,22"			16	15			30	60	240	240			2	5				
18660	ESS	"25,23"	3	2	9	6			50	32	200	80	44		17	4				
18661	ESS	"25,24"	2		8	5			0	3	0	5								
18662	ESS	"25,25"	6	2	16	5			20	20	106	102			2					
18665	ESS	"26,1"	1	1	8	3			80	40	120	30			3					
18667	ESS	"26,3"				1			14		90	19							1	foals
18669	ESS	"26,5"	2	1	1				32	2	200	213								
18671	ESS	"27,1"	1		2	2			9	3	70	60								
18672	ESS	"27,2"	2	1		4				7	140	40								
18673	ESS	"27,3"							4		60	60								
18674	ESS	"27,4"	3	3	16	16			35	30	306	300								
18680	ESS	"27,10"	1				3	3	14		60	20	7							
18681	ESS	"27,11"	1		17	18					70	70	10							
18683	ESS	"27,13"	1	1	10	2			12	12	80	30			3					
18684	ESS	"27,14"	0	3		25	1		14	100	24	108	0	60						
18686	ESS	"27,16"	2	3					20	16	93	48	18									
18694	ESS	"28,5"							11	16	50	20										
18698	ESS	"28,9"	6	6	14	10			10	10	260	60										
18700	ESS	"28,11"	3	3	13	24			20	40	100	120			4							
18702	ESS	"28,13"	1	2	3	4			14	30	20		40									
18705	ESS	"28,16"	1		2	2			26	16	20		20									
18706	ESS	"28,17"	2	5	20	20			40		150	100	40	40								
18709	ESS	"29,1"			40																	
18710	ESS	"29,2"	1	1	18	7			80	60	140	40										
18712	ESS	"29,4"	15	13	28	20			100	60	300	300	35									
18713	ESS	"29,5"			7	20			40	50	100	60										
18715	ESS	"30,1"	2	2	8	8			21	28	67	250				2			6	calves	6	calves
18718	ESS	"30,4"	1		18	5			35		220	18			1							
18719	ESS	"30,5"	3	5			11	12	60	50	132		7	80	20							
18730	ESS	"30,16"			10				10		100											
18731	ESS	"30,17"	2		8			2	20	12	32	13	14		5							
18732	ESS	"30,18"	2	2	14	9			15	14	160	180	50		3	
18733	ESS	"30,19"	2						4		40	49				
18736	ESS	"30,22"	1	1	8	6			16	12	100	60				
18741	ESS	"30,27"	3	3		7	7		27	60	50	60	4	30	17	10
18747	ESS	"30,33"			3				3		25				1	
18759	ESS	"30,45"	9	6	10	11			100	110	243	200	20	40	30	4
18760	ESS	"30,46"			3				30	10	220	200	66			
18764	ESS	"30,50"							70	5		30				
18767	ESS	"31,1"	3	3			5	5	16	16	550	550				
18769	ESS	"32,1"	2	1	10	2			40		60	60			2	
18770	ESS	"32,2"	1	1	6				20	7	80	20			2	
18771	ESS	"32,3"	1	1	4	2			20	12	100	80			3	
18772	ESS	"32,4"	0	1	4	2			40	12	54	30	24			
18773	ESS	"32,5"							8							
18774	ESS	"32,6"		1	4				16	8	12		8			
18775	ESS	"32,7"			0	11			21	30						
18776	ESS	"32,8"	1	1	9			1	11	5	12	6	13							
18777	ESS	"32,9"	4		15	8			34	20	180				3					
18781	ESS	"32,13"	1	1	8			2	20	16	140	100								
18782	ESS	"32,14"	8	1					0	20	80	160								
18783	ESS	"32,15"	2	0	2	0		0	20	0	80	0		0		0		0		
18784	ESS	"32,16"	2		16	8			60	20	120	140	24	40					5	asses
18785	ESS	"32,17"	1	2	3	12			38	20	10	16								
18786	ESS	"32,18"							30	7	67	5							3	foals
18787	ESS	"32,19"	3	2	14	1			40	50	30	80								
18788	ESS	"32,20"			1				2	10	4	28								
18789	ESS	"32,21"	2	4	0	15			17	40	30	60	39		3					
18790	ESS	"32,22"			5	8			33	20	44	80	8	20					1	foals
18791	ESS	"32,23"	1	1	14	8			18	10	80	20	23	20	2					
18792	ESS	"32,24"	6	1	33	5			60	40	200	6	47	15	7					
18793	ESS	"32,25"	2	1	10	8			24	20	87	60	20	30						
18794	ESS	"32,26"	2		7	2			33	5	80	38	33							
18796	ESS	"32,28"	4	3	11	14			24	6	80	100			12					
18798	ESS	"32,30"			4	5			17	12	26	28								
18800	ESS	"32,32"	1	1	6	6			14	14	12	12								
18801	ESS	"32,33"	10	1	30	5			40	13	100	4								
18802	ESS	"32,34"	5	1	10	10			16	30	20	20			2					
18803	ESS	"32,35"	0		0	4	0		0	20	0	20	0		0		0			
18806	ESS	"32,38"	4	10	5	10			15	20	180	180								
18807	ESS	"32,38a"	4	2	10	2			27	20	60	49	37	24	3					
18808	ESS	"32,39"	4	1	8	7			15	7	51	37	20	20						
18810	ESS	"32,41"							49	24	65	3								
18811	ESS	"32,42"	0	3			0	3	0	60	100	100			11	23				
18812	ESS	"32,43"			2				12	12	32				2					
18813	ESS	"32,44"	1	1		7			18	8	0	16	0	20					1	calves
18814	ESS	"32,45"	0	3	0	14			20	40	60	100	20	30	8					
18816	ESS	"33,1"	4	5	9	20			24	7	35	70			2					
18818	ESS	"33,3"	6	4	8	15			20	20	60	150								
18819	ESS	"33,4"			8	2			21	7	130	37			13				6	asses		
18821	ESS	"33,6"	11	3	21	11			30	40	104	15	53	23	8							
18822	ESS	"33,7"	2	2	4	4			28	60	80	120			4	4						
18823	ESS	"33,8"	2	2	1	1			2	1	33	15	34									
18826	ESS	"33,11"	3	2	24	22			20	48	80	10			8	8						
18827	ESS	"33,12"	6	2	13	4			16	12	336	200										
18828	ESS	"33,13"	10	7	53	47				108	163	80										
18829	ESS	"33,14"			3				23		47		4									
18830	ESS	"33,15"	3	2	4	13			27	50	118	50										
18831	ESS	"33,16"	2	1	20	20			49	22	309	115			8							
18832	ESS	"33,17"		2		6			25	27	83	150										
18834	ESS	"33,19"		3		8				80		160				10						
18835	ESS	"33,20"	1	2	7	5			60	60	65	200			3	10						
18837	ESS	"33,22"	2	3	4	5			40	24	80	40										
18838	ESS	"33,23"	2	2	5	6			20	20	100	100	28									
18840	ESS	"34,1"	2	1					14	14	100	100							4	calves	4	calves
18843	ESS	"34,4"	5	6			5	6	39	100	57	150	20						11	4 foals; 7 calves	12	4 foals; 8 calves
18844	ESS	"34,5"	2	1		4	4		36	16	80	60							4	calves	4	calves
18845	ESS	"34,6"	2		8	12			34	40	75	180	16	50					2	foals		
18846	ESS	"34,7"	2	1			4		32	6	124	13			3				4	calves		
18847	ESS	"34,8"	2	1			2	1	20	3	60								4	2 foals; 2 cows with calves		
18848	ESS	"34,9"	3	2			6	3	30	20	100	60		24					6	calves	3	calves
18849	ESS	"34,10"	3	3	16	16			65	30	100				5				4	foals		
18850	ESS	"34,11"	3	2			4	6	46	20	135	60	5	45					6	2 foals; 4 calves	4	calves
18851	ESS	"34,12"	2	2			3		29		140								4	calves		
18852	ESS	"34,13"	2	2			4	2	9	5	100	60									2	calves
18853	ESS	"34,14"	2	2			4	2	9	5	100	60										
18854	ESS	"34,15"	2	1			4	5			103	100							5	calves	5	calves
18857	ESS	"34,18"	7	6	10	28			110	250	168	150	3			6			2	foals		
18858	ESS	"34,19"	3	2	14	6			30	40	68	40			1	5			1	foals		
18859	ESS	"34,20"		5				5		50		100				5						
18860	ESS	"34,21"	1	2			9	5	36	14	134	50				3			9	calves	5	calves
18861	ESS	"34,22"	7				10	6	54	11	20	54	60		6				13	8 calves; 5 foals	6	calves
18866	ESS	"34,27"		2		10			20	15	60	80	9	20	2	2			2	1 mare; 1 foal		
18868	ESS	"34,29"	4	2	26	12			25	50	40	100	12		1				7	5 foals; 2 asses		
18872	ESS	"34,33"	4	6	4	50			37	40	68	300	18			6						
18873	ESS	"34,34"	1	1		4	2		20	40	66	100			6				2	calves	4	calves
18874	ESS	"34,35"	2	1			4	5			103	100							5	calves	5	calves
18875	ESS	"34,36"	3	3	20	20			37	60	160	80	18									
18876	ESS	"34,37"	1				1		3	8	3	51										
18878	ESS	"35,1"	3	2	8	7			30	20	100	80			3	3						
18879	ESS	"35,2"	2	2	8	6			30	20	80	60			3	3						
18880	ESS	"35,3"	3	3	8	8			60	40	140	120	60	60	5	5						
18881	ESS	"35,4"	4	2	3	5			22	50	80	160	20	50	2	2						
18882	ESS	"35,5"	1	4		11			100	80	160	140	100									
18883	ESS	"35,6"	2	2	28	24			100	80	200	160										
18885	ESS	"35,8"	4	3	45	19		20	80	60	160	120	80	60					26	6 asses; 20 mares		
18886	ESS	"35,9"	3	3	26	20			40	40	100	100										
18887	ESS	"35,10"	3	3	12	12			40	40	200	200										
18888	ESS	"35,11"	1	2	4	12			30	30	100	150			3							
18889	ESS	"35,12"	5	1	12	7			40	8	80	5	40	15	5	3						
18893	ESS	"36,1"	2	1				8	56	16	84	35			3				2	1 mule; 1 ass	8	calves
18895	ESS	"36,3"	1		14	8			26		76	41			3							
18897	ESS	"36,5"	1						11													
18898	ESS	"36,6"		1		15				37						2					1	ox
18900	ESS	"36,8"			33			5	28	30											5	calves
18903	ESS	"36,11"	2	3				2	92	54	157	47			12							
18904	ESS	"36,12"	1	1	17			3	28	35	70	5		3	5							
18906	ESS	"37,1"			8	14			20	60	100	60			3							
18907	ESS	"37,2"	2		4				21		58											
18908	ESS	"37,3"			10	6			30	30	60	60							10	horses		
18909	ESS	"37,4"			8	12			34		80											
18912	ESS	"37,7"	3		17				60	20	65											
18914	ESS	"37,9"			2	7			18	30												
18915	ESS	"37,10"	1	2	2	2			7	30	100	100	18		4							
18916	ESS	"37,11"	2	13	4	15			10	50	55	80		25								
18918	ESS	"37,13"	1	0	2	0			2	0	30	0		0		0		0				
18920	ESS	"37,15"					1	1	3	3	107	107										
18921	ESS	"37,16"			7						60											
18927	ESS	"38,1"	1	1	4	5			14	26	38	14		32	3	1						
18928	ESS	"38,2"	1			5	5		30	5	50	10			1	2						
18929	ESS	"38,3"			4	6			18	18	32	49	0	20	4							
18930	ESS	"38,4"	1	1	6	6			40	24	115	40			3	2			1	foals		
18932	ESS	"38,6"	1	2	4			1		60						3						
18933	ESS	"38,7"	1	1	12	6			30	12	98	60							3	foals		
18934	ESS	"38,8"	1		5	15			36	40	63	80				6						
18936	ESS	"39,1"	0	1			3	8	40	30	100	100										
18939	ESS	"39,4"	2	2			2	2	20	30	100	100	35	35					2	calves	2	calves
18940	ESS	"39,5"	10	2			3	5	30	25	100	40										
18942	ESS	"39,7"					0	4	33	20	100	100									4	calves
18943	ESS	"39,8"	0	3				2			100	40										
18949	ESS	"40,1"	0	1	0			2	0		0		0		0		0					
18951	ESS	"40,3"					2		14		57											
18952	ESS	"40,4"	5		8	6			30	15	66	11	15									
18954	ESS	"40,6"					11		11		60				1							
18956	ESS	"40,8"							30		40											
18960	ESS	"41,2"			4	2			25	1	35	6	0	6					2	foals		
18963	ESS	"41,5"	3	2	9	7					124	107	0	6								
18967	ESS	"41,9"	0	1			0	4	7	16	30	40									4	calves
18968	ESS	"41,10"	0	1	3	4			20	10	20	40										
18970	ESS	"41,12"	0	1		15	2				25	50			0	2			1	calves		
18972	ESS	"42,1"	1	2	4	4			11	10	55	98										
18973	ESS	"42,2"	4	5	8	8			47	62	80	152	23									
18974	ESS	"42,3"	6	2	15		6	6	62	74	120	80	34	24	2				4	calves		
18977	ESS	"42,6"	0	2	2	6			14	16	24	12	13		3							
18978	ESS	"42,7"	2	2	14	12			71	40	84	100	34	30	10	7						
18979	ESS	"42,8"	4	2	7	9			30	12	200	100			2							
18980	ESS	"42,9"	0	1	4	2			34	16	43	36	23									
18989	ESS	"44,1"		5	10	16			40	40	50	60	26	50	8	10						
18990	ESS	"44,2"	1	2	12	10			65	40	260	50			5							
18991	ESS	"44,3"		3	6	12			20	60	30	20		40	3							
18994	ESS	"45,1"	4	2	11			8	14	60	36		60	30							6	calves
18996	ESS	"46,1"		2	7	14			6	28	54	80		26								
18997	ESS	"46,2"		1	4	14			11	6	80	148		32								
19000	ESS	"47,1"					3	3		7	22	12			8				3	calves	3	calves
19001	ESS	"47,2"			7				8	5	44	30	10		3							
19002	ESS	"47,3"	2	2	8			3	10	8	80	60	25	12	6	10					3	calves
19004	ESS	"48,1"					5	1	15	11	60	60										
19005	ESS	"48,2"		1			5		8		85	58							4	calves	2	calves
19010	ESS	"49,4"	1	1	6	3			18	15	24	15										
19011	ESS	"49,5"			10	6			20	11	60	17										
19017	ESS	"51,2"					4	4	13	13	60	60										
19019	ESS	"52,1"									110										1	foal
19020	ESS	"52,2"	1						20		105											
19023	ESS	"53,1"	1		8				120		60		10		3							
19024	ESS	"53,2"	1		5				20		30											
19026	ESS	"54,1"			7				28		25		24		2							
19027	ESS	"54,2"	1	2	3	30		3		30	48	40									3	calves
19029	ESS	"55,1"	1		8				35		60		20									
19031	ESS	"56,1"			18	10			37	50	140	60	30	25	4	1						
19033	ESS	"57,1"	1	1					18	7	70	15	20									
19034	ESS	"57,2"	1		4	1			6		12											
19035	ESS	"57,3"	3	3	7	24			9	23	125	200			4	4						
19036	ESS	"57,4"							18		18											
19037	ESS	"57,5"	1	4	4	12			6	24	12	50										
19038	ESS	"57,6"	1		2	1				1	30											
19040	ESS	"58,1"	1	1	2				26	30	40	50	30	36								
19044	ESS	"60,1"	1	1	1	1			1	1	30	30										
19045	ESS	"60,2"	1	1	7	7			1	1	45	55										
19046	ESS	"60,3"	1	1	7	7			25	25	53	53										
19048	ESS	"61,1"		1		5				20	35	150										
19049	ESS	"61,2"		1	4			7	9	1	24	95		40	2	6						
19061	ESS	"65,1"	1				8		60		220								1	foals		
19066	ESS	"67,1"		2	10	12			8	60	53	53	20	3	5							
19067	ESS	"67,2"			4			1	8	30	53	5										
19070	ESS	"68,2"	2		10	4			7	4	40	20										
19071	ESS	"68,3"									85											
19072	ESS	"68,4"	2		10			1	10	7	100	32	40								1	calf
19075	ESS	"68,7"	1	1	6				4		10		4									
19079	ESS	"69,2"	1	1	5	5			15	15	43	43										
19087	ESS	"71,2"	2	2	8	10			20	10	200	150							5	asses		
19089	ESS	"71,4"	2	2	7	7			21	6	106	100				6						
19102	ESS	"76,1"	1	2					20	40	206	206			10	13						
19112	ESS	"81,1"	3		32				88		80											
19120	ESS	"84,2"	7		13				31		245											
19279	NFK	"1,1"							7	7	64	64										
19280	NFK	"1,2"	8	3	3				14		347	87							4	oxen		
19281	NFK	"1,3"	2	3	8	3			20	28	60		40									
19293	NFK	"1,15"	3	3					20		200	200										
19294	NFK	"1,16"	1	1					30		88	80							2	oxen		
19295	NFK	"1,17"	1	1							60	60										
19296	NFK	"1,18"	1	1					1													
19297	NFK	"1,19"	1	1					27	7	230											
19298	NFK	"1,20"							8	8												
19307	NFK	"1,29"									60	30										
19308	NFK	"1,30"							2		24											
19310	NFK	"1,32"	1	1					20	0	180											
19318	NFK	"1,40"	2	2	5	5			14	12	40	24										
19320	NFK	"1,42"			3	3			8		20	20									1	horse
19330	NFK	"1,52"	2	1	12	3			50	47	60		50	50								
19333	NFK	"1,55"	2	2																
19335	NFK	"1,57"	5	4	20	20			48	40	60	60	50	50	5				2	oxen
19337	NFK	"1,59"	3		4				6		381	381								
19347	NFK	"1,69"									35	35								
19348	NFK	"1,70"																	1	horse
19350	NFK	"1,71"	3			10			72		236		20							
19351	NFK	"1,72"	1			9			30		30									
19352	NFK	"1,73"										60								
19356	NFK	"1,77"			1	1			20		160		20	20						
19357	NFK	"1,78"							12	12	30	30								
19360	NFK	"1,81"							8	8	20									
19361	NFK	"1,82"							7		16									
19364	NFK	"1,85"			2				15		20		20							
19365	NFK	"1,86"							30	30	30		6							
19366	NFK	"1,87"							12		26		80							
19367	NFK	"1,88"	2	1	5				14		105									
19368	NFK	"1,89"			5				12		20											
19369	NFK	"1,90"																	1	oxen		
19371	NFK	"1,92"							30	30	180											
19373	NFK	"1,94"	1	1	3				6	6	400	400										
19384	NFK	"1,105"			4	4			41		80											
19385	NFK	"1,106"																	2	oxen		
19388	NFK	"1,109"																	2	oxen	2	oxen
19398	NFK	"1,119"																	2	oxen	2	oxen
19402	NFK	"1,123"			10				3	2	5											
19407	NFK	"1,128"			6	6			30				12	12								
19411	NFK	"1,132"							9	9	24	24										
19412	NFK	"1,133"	1	1			4	4	10	10	120	120										
19414	NFK	"1,135"			2	2			28		40											
19415	NFK	"1,136"			12	12			24		37		34	34								
19417	NFK	"1,138"							12	12	11											
19418	NFK	"1,139"			4	4			12		68											
19419	NFK	"1,140"									6	6							2	oxen		
19420	NFK	"1,141"									14											
19421	NFK	"1,142"																	1	oxen		
19422	NFK	"1,143"	1	1																		
19423	NFK	"1,144"	1	1					6		16								2	oxen	2	oxen
19424	NFK	"1,145"							8													
19426	NFK	"1,147"		7						40	600											
19429	NFK	"1,150"			2	2			18		20											
19430	NFK	"1,151"	3	3	2				20		120				15	11						
19431	NFK	"1,152"	2	2	7				13		960											
19448	NFK	"1,169"			6				14	14			14	14					2	horses at the hall	2	horses at the hall
19461	NFK	"1,182"			1				14	14									1	horses at the hall	1	horses at the hall
19464	NFK	"1,185"	2	2	10				30		30											
19465	NFK	"1,186"	4		20				16		50											
19471	NFK	"1,192"							7	7	6		7	7								
19472	NFK	"1,193"	4	4	20				50				50	50								
19473	NFK	"1,194"	2						14		8		40	40				
19476	NFK	"1,197"			4				18		200							
19477	NFK	"1,198"	2		3				7		20							
19478	NFK	"1,199"			2				13		160							
19479	NFK	"1,200"	2						23		71							14
19480	NFK	"1,201"	3		8				12		360							
19481	NFK	"1,202"			7				2		122							
19482	NFK	"1,203"	1		1				9		101							
19484	NFK	"1,205"			6				6		6							
19487	NFK	"1,208"							13		200							
19489	NFK	"1,209"	1	1	2				14		44							
19490	NFK	"1,210"	6	2	12				84		800				27			
19491	NFK	"1,211"	1	1	6				19		215							
19492	NFK	"1,212"	2	2	16	2			48		140		70	70				
19495	NFK	"1,215"	2	2	16				50		24							
19496	NFK	"1,216"	1	1	2	2			13		140		36	36				
19497	NFK	"1,217"	3	3		8					145	145			2							
19499	NFK	"1,219"			1				40	40			30	30					3	horses at the hall	3	horses at the hall
19508	NFK	"1,228"							48	48	64		55									
19510	NFK	"1,230"							3										1	horses at the hall	1	horses at the hall
19511	NFK	"1,231"	1		2				7		20		40	30	1	1						
19517	NFK	"1,237"	4		16				50		80		15									
19518	NFK	"1,238"	1		4				20		200											
19519	NFK	"1,239"	2		4				4													
19524	NFK	"2,2"	1	1	4	3					60	60										
19526	NFK	"2,4"	5	5					38		447											
19529	NFK	"2,7"							28	8					6				1	horses at the hall	1	horses at the hall
19536	NFK	"3,1"	0	1	3					5	20		12									
19539	NFK	"4,1"	2	1	4	4			12	12	200	200										
19540	NFK	"4,2"	2	3	7	0			35	16	86	94			5							
19547	NFK	"4,9"			14	14			27				13									
19552	NFK	"4,14"			5	5			2													
19555	NFK	"4,17"	1	1					16	4	100	40								
19560	NFK	"4,22"																	2	oxen
19564	NFK	"4,26"	3	3	2	2			24	12	200	100								
19568	NFK	"4,30"	1		12	8			40	35	100	100			3					
19569	NFK	"4,31"	1	2	14				22	30	100	40	0	60	7	5				
19576	NFK	"4,38"	1		4				24	12	200	100			2			5		
19577	NFK	"4,39"	1	2	6				7		350		44							
19579	NFK	"4,41"			6				12				60					7		
19580	NFK	"4,42"			2				6		100									
19585	NFK	"4,47"	1	1	4				20		70	70								
19590	NFK	"4,52"	1	7	5	5			5		87				7					
19592	NFK	"4,54"																	2	oxen
19597	NFK	"5,1"							23		260	24								
19598	NFK	"5,2"							8	11	80	100								
19599	NFK	"5,3"							16		106	100								
19600	NFK	"5,4"	2		12				24		80				4					
19602	NFK	"5,6"		1		16			17	40		24	40	24	8					
19604	NFK	"6,1"			2	1			6	10	29	30								
19605	NFK	"6,2"			10	8			28	26	48	60	36	47						
19606	NFK	"6,3"	1	1	4	3			5	11	18	40								
19607	NFK	"6,4"			2				12				40							
19609	NFK	"6,6"	1		9				30		48		48							
19612	NFK	"7,1"	1	2					8	8		20								
19613	NFK	"7,2"	1	1					14		30		50						2	oxen
19614	NFK	"7,3"	2	2	4				3	16	288	300							2	oxen
19624	NFK	"7,13"																	1	oxen
19626	NFK	"7,15"							7		40									
19627	NFK	"7,16"	1	1	4	3			17		92	30			15					
19628	NFK	"7,17"	1	1	4	2			18	6			35	10						
19629	NFK	"7,18"	2		1				13	8	50	180	16							
19630	NFK	"7,19"	1						7											
19634	NFK	"8,1"	2	2	20				40		120		27		3					
19635	NFK	"8,2"	0	2	6	4			7	40	60		24									
19636	NFK	"8,3"	3	4	10				40		60				5							
19639	NFK	"8,6"	2	2	10				14	40	40	40			12							
19640	NFK	"8,7"	2		7	4			40	8	300	40										
19644	NFK	"8,11"																	2	oxen		
19649	NFK	"8,16"	4		6	6			27		120	80										
19654	NFK	"8,21"	8	14	23	24			114	100	800	700									36	mares
19655	NFK	"8,22"	1	6	11	8			70	45	540	160										
19663	NFK	"8,30"	1	1	4	4			30	10	308	180										
19666	NFK	"8,33"	1	1							160	30										
19667	NFK	"8,34"			7				30		200											
19668	NFK	"8,35"	2	2	6				40		100		30		17							
19679	NFK	"8,46"	8	4	6	7			27	27	240	200			14							
19680	NFK	"8,47"	1	1	46	12			100	30	660	80										
19687	NFK	"8,54"																	2	oxen		
19688	NFK	"8,55"	0	4	5	8			15	30	100	100										
19695	NFK	"8,62"	1		15	10			50	30	30		30									
19696	NFK	"8,63"	4		9	8			24	24	200											
19697	NFK	"8,64"	2		6				8		60											
19720	NFK	"8,87"	1		7				20				30									
19724	NFK	"8,91"	2	2	5	5			15	15	120	100	17		5							
19725	NFK	"8,92"	3	3	6				20		102				1							
19731	NFK	"8,98"	6	4	20	6			20	40	400	100						12				
19732	NFK	"8,99"	2	0	4				60		280											
19733	NFK	"8,100"	2		4				8		86											
19735	NFK	"8,102"	1						5		60											
19736	NFK	"8,103"	1	1	5				23		0	180	0	40	1							
19738	NFK	"8,105"	6	2	4	4			28		345											
19740	NFK	"8,107"			11	11			28	30	180	400						22			14	horses
19741	NFK	"8,108"	2	2	3				4	4	140	140										
19742	NFK	"8,109"	5	4	11	6			20	16	300	450										
19743	NFK	"8,110"	2	1	5				6		80	40										
19748	NFK	"8,115"							6	6	30	60										
19752	NFK	"8,119"		2	8				40	30	160	30	30	30			7	11				
19753	NFK	"8,120"	2	2		3				3												
19754	NFK	"8,121"			4				4													
19755	NFK	"8,122"	2	2	3				11	6	50		20	20	1							
19763	NFK	"8,130"											40									
19765	NFK	"8,132"		1		3			3	9	15	40		60								
19774	NFK	"9,1"									128	128										
19775	NFK	"9,2"	3		21	21			30		92	40			7				7	horses	20	horses
19779	NFK	"9,6"	1	1		3			32	27	1	180										
19780	NFK	"9,7"		1					35	6	14	63										
19781	NFK	"9,8"	1								82	82										
19782	NFK	"9,9"	1	1		1		1	51	16	50	110			5							
19784	NFK	"9,11"	3	3	5	13			30	35	62	17										
19785	NFK	"9,12"	1	1	18	17			12	32	167	140	24						15	mares	63	mares
19797	NFK	"9,24"							20	24			0	24					2	horses	1	horse
19806	NFK	"9,32"				2			10										1	horses	1	horses
19807	NFK	"9,33"			3	2			16	12					4				2	horses	2	horses
19820	NFK	"9,46"			3				23	5	9	9							1	horses	1	horses
19832	NFK	"9,58"			3																	
19833	NFK	"9,59"							14		90								1	horses at the hall	1	horses at the hall
19837	NFK	"9,63"			5						60								2	horses at the hall		
19844	NFK	"9,70"	2	2	13	13			25		200				3							
19845	NFK	"9,71"	2	5	2	12			8	12	220	220			2		0	220				
19847	NFK	"9,73"			7	3			9		60	160	14		2							
19848	NFK	"9,74"	1	4	2	3				12	60	80										
19849	NFK	"9,75"		1	4	4			5	7	300	100			5							
19850	NFK	"9,76"	2	1	13	1			40		60	100										
19851	NFK	"9,77"	1	1	3	1			40	40	60	100			10				2	oxen		
19852	NFK	"9,78"									20											
19854	NFK	"9,80"	2	2	12				25	9	67	60	36		7							
19855	NFK	"9,81"	2	2	8				6		20		16		2							
19857	NFK	"9,83"	1	1					13	18	264	320										
19858	NFK	"9,84"									40											
19861	NFK	"9,87"	5	1	24	14			40	7	105	11	26	30	8	7						
19862	NFK	"9,88"	2		23	13			33	9	240	180	30		4		7	23				
19866	NFK	"9,92"																	2	oxen	2	oxen
19867	NFK	"9,93"																	2	oxen		
19868	NFK	"9,94"	5	2	8	5			25	18	80	1				2	3					
19869	NFK	"9,95"	2	2	3	1			20		80											
19870	NFK	"9,96"		1																		
19872	NFK	"9,98"	5	4	16	18			19	1	80	1							4	oxen		
19873	NFK	"9,99"		4	4				20	40	80	40			1							
19874	NFK	"9,100"	1		3				46													
19878	NFK	"9,104"	2	1	2	1			27	14		10										
19892	NFK	"9,118"																	2	oxen		
19902	NFK	"9,128"																	2	oxen		
19903	NFK	"9,129"																	2	oxen		
19909	NFK	"9,135"																	2	oxen		
19942	NFK	"9,168"							9				20	20					2	horses at the hall	2	horses at the hall
20007	NFK	"9,233"							12	4	100	79										
20011	NFK	"10,1"	5		22	22			17		81											
20012	NFK	"10,2"	1	1	3				25		190											
20013	NFK	"10,3"	2		2						500											
20014	NFK	"10,4"							22	22	280											
20015	NFK	"10,5"	3						32		300		35									
20016	NFK	"10,6"			7				27			10	160									
20018	NFK	"10,8"	4						12		100											
20019	NFK	"10,9"							6	13	200											
20020	NFK	"10,10"							17		160				6							
20021	NFK	"10,11"	1	1					8		90	180										
20025	NFK	"10,15"	2	2	20				40				40		2							
20026	NFK	"10,16"							11		19											
20029	NFK	"10,19"			1				11													
20031	NFK	"10,20"	1	1					45		300											
20032	NFK	"10,21"			3				7		180											
20033	NFK	"10,22"	1	1	1				16		60											
20034	NFK	"10,23"	1	1	1				2													
20036	NFK	"10,25"	1						16		140											
20039	NFK	"10,28"	2	2	2				11				3									
20041	NFK	"10,30"							12		160											
20044	NFK	"10,33"			1	4			14	20	95								6	horses	7	horses
20049	NFK	"10,38"	1						16													
20051	NFK	"10,40"	1		2				12				26		6							
20068	NFK	"10,57"	2	2					8	4	104	9			5							
20069	NFK	"10,58"	2	2	8	8			10	5												
20078	NFK	"10,67"			2	2																
20087	NFK	"10,76"	1	1	6				16		60		16									
20089	NFK	"10,78"	1						12													
20108	NFK	"11,1"	1		3	3			27	6	30	6	30	5								
20114	NFK	"12,1"	3		7	7					100	51										
20130	NFK	"12,17"			5				8		60				4				1	horses	1	horses
20133	NFK	"12,20"			2				40	5	200								2	horses	1	horses
20136	NFK	"12,23"																	2	horses at the hall	2	horses at the hall
20137	NFK	"12,24"																	7	horses	5	horses
20140	NFK	"12,27"	3	2	7	7			23		80	60			10							
20143	NFK	"12,30"	2	1	10	10			13		40				3							
20145	NFK	"12,32"	1	1	5				15		90											
20155	NFK	"12,42"	2	1	4				20													
20161	NFK	"13,2"	1	4	9	12			26	30	175	260										
20162	NFK	"13,3"	4		3	3			15	5	61	30										
20163	NFK	"13,4"					3	3	18		60				2	4						
20164	NFK	"13,5"	1	2	13	10			6	6	60	120										
20165	NFK	"13,6"			4	4			10	9	80	24					26					
20166	NFK	"13,7"	2	5			1	7	44		160	240			14	2						
20168	NFK	"13,9"	1	1			4	5	19	6	108											
20169	NFK	"13,10"	1	1	2	2			8		80	140								
20171	NFK	"13,12"	0	1	6	6			7	16	315	310								
20172	NFK	"13,13"			4	4			3	20	100	120								
20173	NFK	"13,14"	1	1	4	4			27		100									
20174	NFK	"13,15"	4	4	8	8			27	20	100	120							12	mares with foals
20175	NFK	"13,16"		2	3	9			29	29	245	225								
20178	NFK	"13,19"	3	2	11	11			47		142			60						
20182	NFK	"13,23"			1	1			38		160	140								
20183	NFK	"13,24"	2	2	9	2			13	2	50	60								
20185	NFK	"14,1"	1	1	8	8			30		15									
20186	NFK	"14,2"	4		31				11		80						11			
20188	NFK	"14,4"			4	4					80									
