place_id	struct_idx	sub_idx	county	phillimore	area	hundred	std_hundred	vill	std_vill	grid	m_type	holding	units	waste_86	places_idx	phillimore_with_new_yks	county_name	country
140030	12588	1	CHS	"8,14"		Middlewich	Middlewich	[Church] Minshull	Church Minshull	SJ6660	[M]	1	geld	N	43371	"8,14"		UK
140040	12589	1	CHS	"8,15"		Middlewich	Middlewich	Sproston	Sproston	SJ7367	[M]	0.5	geld	N	57586	"8,15"		UK
140050	12590	1	CHS	"8,16"		{Warmundestrou}	Warmundestrou	Acton	Acton	SJ6253	[M]	8	geld	N	196	"8,16"		UK
140060	12591	1	CHS	"8,17"		{Warmundestrou}	Warmundestrou	Aston	Aston	SJ6147	[M]	1	geld	N	3006	"8,17"		UK
140070	12592	1	CHS	"8,18"		{Warmundestrou}	Warmundestrou	Willaston	Willaston	SJ6752	[M]	0.25	geld	N	70491	"8,18"		UK
140080	12593	1	CHS	"8,19"		{Warmundestrou}	Warmundestrou	Wrenbury	Wrenbury	SJ5947	[M]	1.5	geld	N	73101	"8,19"		UK
140090	12594	1	CHS	"8,20"		{Warmundestrou}	Warmundestrou	Chorlton	Chorlton	SJ7250	[M]	0.5	geld	N	15396	"8,20"		UK
140100	12595	3	CHS	"8,21"		{Warmundestrou}	Warmundestrou	Wirswall	Wirswall	SJ5444	B	1	geld	Y	71471	"8,21"		UK
140110	12595	1	CHS	"8,21"		{Warmundestrou}	Warmundestrou	Marbury	Marbury	SJ5545	B	1.5	geld	N	41381	"8,21"		UK
140120	12595	2	CHS	"8,21"		{Warmundestrou}	Warmundestrou	Norbury	Norbury	SJ5547	B	1.5	geld	N	45811	"8,21"		UK
140130	12596	1	CHS	"8,22"		{Warmundestrou}	Warmundestrou	Walgherton	Walgherton	SJ6948	[M]	1.25	geld	N	66806	"8,22"		UK
140140	12597	1	CHS	"8,23"		{Warmundestrou}	Warmundestrou	Shavington	Shavington	SJ6951	[M]	0.75	geld	N	55016	"8,23"		UK
140150	12598	1	CHS	"8,24"		{Warmundestrou}	Warmundestrou	Buerton	Buerton	SJ6843	[M]	1	geld	N	11291	"8,24"		UK
140160	12599	1	CHS	"8,25"		{Warmundestrou}	Warmundestrou	Hatherton	Hatherton	SJ6847	[M]	1	geld	N	30216	"8,25"		UK
140170	12600	1	CHS	"8,26"		{Warmundestrou}	Warmundestrou	Wistaston	Wistaston	SJ6853	[M]	1	geld	N	71521	"8,26"		UK
140180	12601	1	CHS	"8,27"		{Warmundestrou}	Warmundestrou	Basford	Basford	SJ7152	[M]	1	geld	N	4966	"8,27"		UK
140190	12602	1	CHS	"8,28"		{Warmundestrou}	Warmundestrou	Batherton	Batherton	SJ6549	[M]	0.5	geld	N	5116	"8,28"		UK
140200	12603	1	CHS	"8,29"		{Warmundestrou}	Warmundestrou	Worleston	Worleston	SJ6856	[M]	0.5	geld	N	72741	"8,29"		UK
140210	12604	1	CHS	"8,30"		{Warmundestrou}	Warmundestrou	Barthomley	Barthomley	SJ7652	[M]	1	geld	N	4706	"8,30"		UK
140220	12605	1	CHS	"8,31"		{Warmundestrou}	Warmundestrou	Austerson	Austerson	SJ6649	[M]	0.75	geld	N	3396	"8,31"		UK
140230	12606	1	CHS	"8,32"		{Warmundestrou}	Warmundestrou	Wilkesley	Wilkesley	SJ6241	[M]	1.25	geld	N	70461	"8,32"		UK
140240	12607	1	CHS	"8,33"		{Warmundestrou}	Warmundestrou	Tittenley	Tittenley	SJ6437	[M]	0.75	geld	N	64011	"8,33"		UK
140250	12608	1	CHS	"8,34"		{Warmundestrou}	Warmundestrou	Stapeley	Stapeley	SJ6749	[M]	0.5	geld	N	58351	"8,34"		UK
140260	12609	1	CHS	"8,35"		{Warmundestrou}	Warmundestrou	`Wisterson'	Wisterson	SJ6653	[M]	0.75	geld	N	71526	"8,35"		UK
140270	12610	1	CHS	"8,36"		{Warmundestrou}	Warmundestrou	Broomhall	Broomhall	SJ6346	[M]	0.5	geld	N	10651	"8,36"		UK
140280	12611	1	CHS	"8,37"		{Warmundestrou}	Warmundestrou	Poole	Poole	SJ6456	[M]	0.5	geld	N	49741	"8,37"		UK
140290	12612	1	CHS	"8,38"		{Warmundestrou}	Warmundestrou	Frith	Frith	SJ5749	[M]	0.25	geld	N	25961	"8,38"		UK
140300	12613	1	CHS	"8,39"		{Warmundestrou}	Warmundestrou	Chorley	Chorley	SJ5650	[M]	0.75	geld	N	15391	"8,39"		UK
140310	12614	1	CHS	"8,40"		{Warmundestrou}	Warmundestrou	Baddiley	Baddiley	SJ6050	[M]	0.12	geld	N	3736	"8,40"		UK
140320	12615	1	CHS	"8,41"		{Warmundestrou}	Warmundestrou	Stoneley	Stoneley	SJ6151	B	0.12	geld	N	59521	"8,41"		UK
140330	12616	1	CHS	"8,42"		{Warmundestrou}	Warmundestrou	Coppenhall	Coppenhall	SJ7057	[M]	1	geld	N	17556	"8,42"		UK
140340	12617	1	CHS	"8,43"		{Warmundestrou}	Warmundestrou	Poole	Poole	SJ6456	[M]	0.25	geld	N	49741	"8,43"		UK
140350	12618	1	CHS	"8,44"		{Warmundestrou}	Warmundestrou	Aston [Juxta Mondrem]	Aston Juxta Mondrem	SJ6556	[M]	0.25	geld	N	3136	"8,44"		UK
140360	12619	1	CHS	"8,45"		{Warmundestrou}	Warmundestrou	Cholmondeston	Cholmondeston	SJ6359	[M]	1	geld	N	15376	"8,45"		UK
140380	12621	1	CHS	"9,1"		Chester	Chester	Newton [by Chester]	Newton by Chester	SJ4168	[M]	1	geld	N	45511	"9,1"		UK
140390	12622	1	CHS	"9,2"		Chester	Chester	Netherleigh	Netherleigh	SJ4165	[M]	0.25	geld	N	44911	"9,2"		UK
140400	12623	1	CHS	"9,3"		Chester	Chester	Handbridge	Handbridge	SJ4164	[M]	1	carucates	N	29061	"9,3"		UK
140410	12624	1	CHS	"9,4"		`Duddeston'	Duddeston	Clutton	Clutton	SJ4654	[M]	1	geld	N	16386	"9,4"		UK
140420	12625	1	CHS	"9,5"		Rushton	Rushton	[Great and Little] Barrow	Great and Little Barrow	SJ4668	[M]	3	geld	N	4611	"9,5"		UK
140430	12626	1	CHS	"9,6"		Willaston	Willaston	[Great] Neston	Great Neston	SJ2977	[M]	1.33	geld	N	44866	"9,6"		UK
140440	12627	1	CHS	"9,7"		Willaston	Willaston	Raby	Raby	SJ3179	[M]	0.5	geld	N	50776	"9,7"		UK
140450	12628	1	CHS	"9,8"		Willaston	Willaston	Capenhurst	Capenhurst	SJ3673	[M]	0.5	geld	N	12986	"9,8"		UK
140460	12629	1	CHS	"9,9"		Willaston	Willaston	Barnston	Barnston	SJ2783	[M]	1	geld	N	4556	"9,9"		UK
140470	12630	1	CHS	"9,10"		Bucklow	Bucklow	Warburton	Warburton	SJ7089	[M]	0.5	geld	N	67346	"9,10"		UK
140480	12631	1	CHS	"9,11"		Bucklow	Bucklow	Tatton	Tatton	SJ7481	[M]	1	geld	N	61721	"9,11"		UK
140490	12632	1	CHS	"9,12"		{Tunendune}	Tunendune	Millington	Millington	SJ7284	[M]	0.5	geld	Y	43136	"9,12"		UK
140500	12633	1	CHS	"9,13"		{Tunendune}	Tunendune	Knutsford	Knutsford	SJ7578	[M]	0.5	geld	Y	37156	"9,13"		UK
140510	12634	1	CHS	"9,14"		{Tunendune}	Tunendune	[Over] Tabley	Over Tabley	SJ7280	[M]	0.33	geld	Y	61356	"9,14"		UK
140520	12635	1	CHS	"9,15"		{Tunendune}	Tunendune	[Over] Tabley	Over Tabley	SJ7280	X	0.45	carucates;geld	Y	61356	"9,15"		UK
